"Широта";"Долгота";"Описание";"Подпись";"Номер метки"
52.509512;103.860913;"Деятельность НКО: Местное сообщество и развитие территорий.
Основная деятельность: Повышение качества жизни жителей 12а микрорайона г.Ангарска Иркутской области ( Благоустройство и содержании территории, организация культурных, спортивных и социально значимых мероприятий, взаимодействие с органами власти для учёта мнения жителей, , экологии и социальной помощи.";"ОО ТОС АГО ""12а микрорайон""";
47.525739;42.13644;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).
Основная деятельность: Благотворительный общественно полезный фонд помощи социально незащищенным слоям населения «Платформа добрых дел».";"Благотворительный общественно полезный фонд помощи социально незащищенным слоям населения ""Платформа добрых дел""";
58.137855;52.647851;"Деятельность НКО: Местное сообщество и развитие территорий.
Основная деятельность:
-Консультирование и регистрация на площадке «Добро.РФ»;
-Проведение ""Школы волонтеров"";
-Формирование и сопровождение волонтерских корпусов (например, на общегородских мероприятиях, федеральных проектах (Формирование комфортной городской среды);
-Информирование граждан и организаторов о развитии добровольчества, благотворительности и гражданских инициатив (индивидуально).";"МБУ ""Молодежный центр""";
58.138365;52.665585;"Деятельность НКО: Другое.
Основная деятельность: Ресурсный центр помощи НКО и сообществам, учреждениям культуры, образования.";"Культурная база ""Короленко 8"" (МБУ ""ЦМиТО УКСиМП"" ";
56.24406;93.493717;"Деятельность НКО: Экология и устойчивое развитие.
Основная деятельность: Организация и проведение различных экскурсий, конкурсов, выставок, акций, конференций, фестивалей, семинаров, олимпиад, походов, круглых столов, курсов, связанных с миром природы. Разработка и реализация просветительных программ эколого-биологической, естественно-научной, природоохранной, туристско-краеведческой направленности для детей и взрослых вместе с детьми. Оказание практической помощи другим организациям и привлечение молодежи к участию в экологической работе на территории ЗАТО Железногорск. ";"КРОМО ""Экологический союз"" ";
56.096207;94.556038;"Деятельность НКО: Здоровье и спорт.";"Федерация картинга";
56.112729;94.595699;"Деятельность НКО: Местное сообщество и развитие территорий.
Основная деятельность: На сегодня принято решение оставить Фонд после окончания СВО. Он будет заниматься сбором пожертвований и помощью людям в тяжелых ситуациях (пожары, болезни и т.п.).";"НКО ""Резервный фонд поддержки гражданских инициатив города Зеленогорска""";
56.101951;94.584003;"Деятельность НКО: Здоровье и спорт
Основная деятельность: Развитие компьютерного спорта и фиджитал-спорта в Зеленогорске, проведение мероприятий, турниров и просветительской работой в данной области";"АНО ""Клуб компьютерного спорта и фиджитал-спорта ""Кибер-атом""";
56.111358;94.611644;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).
Основная деятельность: Оказание психолого-педагогической помощи семьям с детьми,  в том числе с инвалидностью и ОВЗ.";"АНО РЦ ""Солнечный Город""";
56.109014;94.617411;"Деятельность НКО: Местное сообщество и развитие территорий";"АНО КРЦРМСИГ ЕЛЕНЫ ЖИВАЕВОЙ ";
56.111579;94.588916;"Деятельность НКО: Местное сообщество и развитие территорий";"АНО Ресурсный центр";
56.111057;94.591656;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).
Основная деятельность: Предоставление социальных услуг на дому.";"АНО СС ""Линия жизни"" ";
56.111057;94.591656;"Деятельность НКО: Культура и образование";"АНО Центр досуга и развития детей";
56.313543;43.975893;"Деятельность НКО: Защита животных
Об НКО: Благотворительный Фонд ""Планета Кошек"" — это проект помощи бездомным животным в Нижнем Новгороде!
Благотворительный Фонд ""Планета Кошек"" входит в состав многофункционального Центра помощи и реабилитации животных. Деятельность Фонда направлена на спасение животных, оказавшихся в сложных жизненных ситуация, брошенных на улице, нуждающихся в ветеринарной помощи!";"БФ «Планета кошек»";
55.10428;36.618242;"Деятельность НКО: Другое.
На стадии формирования концепции и формализации идеи";"АНО ДПО ""Техническая академия Росатома"" ";
56.595946;84.90638;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации)";"ТРОО ""ВПЦ"" МИРНЫЙ ВОИН""";
56.080623;60.747808;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации)";"СГОО БУМЕРАНГ ДОБРА";
56.091145;60.733785;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации)";"ДоброЦентр при СО НКО Бумеранг добра ";
56.089272;60.732365;"Деятельность НКО: Местное сообщество и развитие территорий.
Основная деятельность:
Поддержка семей с детьми: многодетных, приемных семей, семей в городских общежитиях через Семейный клуб, развитие социального предпринимательства. Содействие повышению качества жизни старшего поколения через Клуб общения старшего поколения. 
Поддержка общественного движения по сохранению и  развитию национальных культур в Снежинске. Защита прав женщин.";"Снежинская городская общественная организация ""Союз женщин Снежинска""";
52.759149;103.635975;"Деятельность НКО: Местное сообщество и развитие территорий.
Основная деятельность: Активизация/развитие местного сообщества для улучшения жизни в городе.
";"БФМС Новое Усолье";
52.748118;103.66986;"Деятельность НКО: Другое.
Основная деятельность: Организация работает по поддержке людей с инвалидностью и развитию адаптивной физической культуры и спорта в городе. Группа изучает более 25 человек различных нозологических групп. ";"УГМО ИОРОООО ВОИ";
55.763594;60.71192;"Деятельность НКО: Другое.
Об НКО: Автономная некоммерческая организация помощи детям с ограниченными возможностями здоровья, инвалидностью и их семьям.";"АНО «Твердыми шагами»";
55.030664;73.299626;"Деятельность НКО: Социальная защита (помощь людям в трудной ситуации).
Основная деятельность: Помощь семьям воспитывающих детей с инвалидностью. Обучение неговорящих детей общаться при помощи альтернативной коммуникации. Открываем новое направление ранняя помощь детям до 3х  лет, имеющим трудности в развитии.";"АНО СЦСА НАШИ ДЕТИ";
